Kind,Name,AvgCyclomatic,CountLine
File,"HttpClientConnectionManager.java",0,109
File,"HttpClientConnectionOperator.java",0,81
File,"HttpClientContext.java",1,278
File,"HttpClientHostnameVerifier.java",0,55
File,"HttpClients.java",1,84
File,"HttpDelete.java",1,64
File,"HttpEntityDigester.java",1,75
File,"HttpExecutionAware.java",0,50
File,"HttpGet.java",1,63
File,"HttpHead.java",1,61
File,"HttpHeader.java",0,38
File,"HttpHostConnectException.java",2,74
File,"HttpMultipartMode.java",1,45
File,"HttpOptions.java",1,88
File,"HttpPatch.java",1,63
File,"HttpPost.java",1,63
File,"HttpPut.java",1,62
File,"HttpRFC6532Multipart.java",1,72
File,"HttpRFC7578Multipart.java",3,192
File,"HttpRequestFutureTask.java",1,109
File,"HttpRequestRetryHandler.java",0,65
File,"HttpRequestTaskCallable.java",1,120
File,"HttpRequests.java",1,166
File,"HttpResponseException.java",1,58
File,"HttpRoute.java",2,339
File,"HttpRouteDirector.java",0,79
File,"HttpRoutePlanner.java",0,65
File,"HttpStrictMultipart.java",1,71
File,"HttpTestUtils.java",1,374
File,"HttpTrace.java",1,63
File,"HttpUriRequest.java",0,58
File,"HttpUriRequestBase.java",1,118
File,"HttpsSupport.java",1,75
File,"IdleConnectionEvictor.java",1,101
File,"IgnoreCompleteExceptonFutureCallback.java",2,69
File,"IgnoreSpec.java",1,64
File,"IgnoreSpecProvider.java",2,62
File,"ImmediateSchedulingStrategy.java",1,49
File,"InMemoryDnsResolver.java",1,106
File,"InputStreamBody.java",1,108
File,"InputStreamFactory.java",0,41
File,"InternalAbstractHttpAsyncClient.java",1,307
File,"InternalExecRuntime.java",2,262
File,"InternalHttp2AsyncClient.java",1,104
File,"InternalHttp2AsyncExecRuntime.java",1,273
File,"InternalHttpAsyncClient.java",1,112
File,"InternalHttpAsyncExecRuntime.java",1,305
File,"InternalHttpClient.java",3,196
File,"InvalidCredentialsException.java",1,65
File,"KerberosConfig.java",1,158
File,"KerberosCredentials.java",1,72
File,"KerberosScheme.java",1,75
File,"KerberosSchemeFactory.java",1,69
File,"KeyHashingScheme.java",0,74
File,"LaxExpiresHandler.java",4,222
File,"LaxMaxAgeHandler.java",2,82
File,"LayeredConnectionSocketFactory.java",0,65
File,"LazyDecompressingInputStream.java",1,101
File,"LeaseRequest.java",0,67
File,"LenientHttpResponseParser.java",1,94
File,"LocalServerTestBase.java",1,144
File,"LogAppendable.java",1,78
File,"LoggingAsyncClientExchangeHandler.java",1,203
File,"LoggingIOSession.java",1,310
File,"LoggingInputStream.java",2,139
File,"LoggingOutputStream.java",1,99
File,"LoggingSocketHolder.java",1,57
File,"MIME.java",0,42
File,"MainClientExec.java",5,156
File,"MalformedChallengeException.java",1,67
File,"MalformedCookieException.java",1,68
File,"ManagedAsyncClientConnection.java",0,62
File,"ManagedHttpCacheStorage.java",2,208
File,"ManagedHttpClientConnection.java",0,89
File,"ManagedHttpClientConnectionFactory.java",3,142
File,"MemcachedHttpAsyncCacheStorage.java",1,260
File,"MemcachedHttpCacheStorage.java",1,197
File,"MemcachedKeyHashingException.java",1,43
File,"MemcachedOperationTimeoutException.java",2,44
File,"MessageCopier.java",0,41
File,"MinimalField.java",1,106
File,"MinimalHttp2AsyncClient.java",1,278
File,"MinimalHttpAsyncClient.java",1,491
File,"MinimalHttpClient.java",5,187
